Measures	Text 1
Language	en
Letter count (Doc)	2387.00
Letter count (Sent Avg)	64.51
Letter count (Sent SD)	31.66
Letter count (Sent Max)	143.00
Letter count (Sent Min)	18.00
Word count (Doc)	548.00
Word count (Sent Avg)	14.81
Word count (Sent SD)	7.33
Word count (Sent Max)	31.00
Word count (Sent Min)	5.00
Type count (Doc)	277.00
Type count (Sent Avg)	13.41
Type count (Sent SD)	6.19
Type count (Sent Max)	27.00
Type count (Sent Min)	5.00
Sentence count (Doc)	37.00
Paragraph count (Doc)	13.00
Hapax legomena count (Doc)	201.00
Hapax legomena count (Sent Avg)	12.27
Hapax legomena count (Sent SD)	5.52
Hapax legomena count (Sent Max)	24.00
Hapax legomena count (Sent Min)	4.00
Hapax legomena incidence (Doc)	366.79
Hapax legomena incidence (Sent Avg)	859.58
Hapax legomena incidence (Sent SD)	133.51
Hapax legomena incidence (Sent Max)	1000.00
Hapax legomena incidence (Sent Min)	500.00
Adjective count (Doc)	49.00
Adjective count (Sent Avg)	1.32
Adjective count (Sent SD)	1.16
Adjective count (Sent Max)	6.00
Adjective count (Sent Min)	0.00
Adverb count (Doc)	23.00
Adverb count (Sent Avg)	0.62
Adverb count (Sent SD)	0.83
Adverb count (Sent Max)	3.00
Adverb count (Sent Min)	0.00
Interjection count (Doc)	0.00
Interjection count (Sent Avg)	0.0
Interjection count (Sent SD)	0.0
Interjection count (Sent Max)	0.00
Interjection count (Sent Min)	0.00
Lexical verb count (Doc)	89.00
Lexical verb count (Sent Avg)	2.41
Lexical verb count (Sent SD)	1.52
Lexical verb count (Sent Max)	7.00
Lexical verb count (Sent Min)	0.00
Noun count (Doc)	114.00
Noun count (Sent Avg)	3.08
Noun count (Sent SD)	2.11
Noun count (Sent Max)	8.00
Noun count (Sent Min)	0.00
Proper noun count (Doc)	20.00
Proper noun count (Sent Avg)	0.54
Proper noun count (Sent SD)	0.61
Proper noun count (Sent Max)	2.00
Proper noun count (Sent Min)	0.00
Lexical item count (Doc)	295.00
Lexical item count (Sent Avg)	7.97
Lexical item count (Sent SD)	4.11
Lexical item count (Sent Max)	19.00
Lexical item count (Sent Min)	2.00
Adposition count (Doc)	61.00
Adposition count (Sent Avg)	1.65
Adposition count (Sent SD)	1.48
Adposition count (Sent Max)	5.00
Adposition count (Sent Min)	0.00
Auxiliary count (Doc)	21.00
Auxiliary count (Sent Avg)	0.57
Auxiliary count (Sent SD)	0.80
Auxiliary count (Sent Max)	4.00
Auxiliary count (Sent Min)	0.00
Conjunction count (Doc)	29.00
Conjunction count (Sent Avg)	0.78
Conjunction count (Sent SD)	0.95
Conjunction count (Sent Max)	3.00
Conjunction count (Sent Min)	0.00
Determiner count (Doc)	73.00
Determiner count (Sent Avg)	1.97
Determiner count (Sent SD)	1.36
Determiner count (Sent Max)	6.00
Determiner count (Sent Min)	0.00
Numeral count (Doc)	2.00
Numeral count (Sent Avg)	0.054
Numeral count (Sent SD)	0.23
Numeral count (Sent Max)	1.00
Numeral count (Sent Min)	0.00
Particle count (Doc)	16.00
Particle count (Sent Avg)	0.43
Particle count (Sent SD)	0.73
Particle count (Sent Max)	3.00
Particle count (Sent Min)	0.00
Pronoun count (Doc)	51.00
Pronoun count (Sent Avg)	1.38
Pronoun count (Sent SD)	1.21
Pronoun count (Sent Max)	5.00
Pronoun count (Sent Min)	0.00
Grammatical item count (Doc)	253.00
Grammatical item count (Sent Avg)	6.84
Grammatical item count (Sent SD)	3.55
Grammatical item count (Sent Max)	15.00
Grammatical item count (Sent Min)	1.00
Verb count (Doc)	110.00
Verb count (Sent Avg)	2.97
Verb count (Sent SD)	1.76
Verb count (Sent Max)	8.00
Verb count (Sent Min)	0.00
Punctuation count (Doc)	94.00
Punctuation count (Sent Avg)	2.54
Punctuation count (Sent SD)	1.43
Punctuation count (Sent Max)	7.00
Punctuation count (Sent Min)	0.00
Personal pronoun count (Doc)	46.00
Personal pronoun count (Sent Avg)	1.24
Personal pronoun count (Sent SD)	1.21
Personal pronoun count (Sent Max)	5.00
Personal pronoun count (Sent Min)	0.00
First person pronoun count (Doc)	4.00
First person pronoun count (Sent Avg)	0.11
First person pronoun count (Sent SD)	0.52
First person pronoun count (Sent Max)	3.00
First person pronoun count (Sent Min)	0.00
Second person pronoun count (Doc)	1.00
Second person pronoun count (Sent Avg)	0.027
Second person pronoun count (Sent SD)	0.16
Second person pronoun count (Sent Max)	1.00
Second person pronoun count (Sent Min)	0.00
Third person pronoun count (Doc)	41.00
Third person pronoun count (Sent Avg)	1.11
Third person pronoun count (Sent SD)	1.20
Third person pronoun count (Sent Max)	5.00
Third person pronoun count (Sent Min)	0.00
Interrogative count (Doc)	2.00
Interrogative count (Sent Avg)	0.054
Interrogative count (Sent SD)	0.23
Interrogative count (Sent Max)	1.00
Interrogative count (Sent Min)	0.00
Demonstrative count (Doc)	5.00
Demonstrative count (Sent Avg)	0.14
Demonstrative count (Sent SD)	0.35
Demonstrative count (Sent Max)	1.00
Demonstrative count (Sent Min)	0.00
Singular word count (Doc)	207.00
Singular word count (Sent Avg)	5.59
Singular word count (Sent SD)	2.99
Singular word count (Sent Max)	14.00
Singular word count (Sent Min)	0.00
Plural word count (Doc)	39.00
Plural word count (Sent Avg)	1.05
Plural word count (Sent SD)	1.79
Plural word count (Sent Max)	8.00
Plural word count (Sent Min)	0.00
Indefinite word count (Doc)	16.00
Indefinite word count (Sent Avg)	0.43
Indefinite word count (Sent SD)	0.80
Indefinite word count (Sent Max)	3.00
Indefinite word count (Sent Min)	0.00
Definite word count (Doc)	54.00
Definite word count (Sent Avg)	1.46
Definite word count (Sent SD)	1.07
Definite word count (Sent Max)	4.00
Definite word count (Sent Min)	0.00
Finite verb count (Doc)	68.00
Finite verb count (Sent Avg)	1.84
Finite verb count (Sent SD)	0.99
Finite verb count (Sent Max)	4.00
Finite verb count (Sent Min)	0.00
Infinitive verb count (Doc)	16.00
Infinitive verb count (Sent Avg)	0.43
Infinitive verb count (Sent SD)	0.93
Infinitive verb count (Sent Max)	4.00
Infinitive verb count (Sent Min)	0.00
Verbal adjective count (Doc)	11.00
Verbal adjective count (Sent Avg)	0.30
Verbal adjective count (Sent SD)	0.46
Verbal adjective count (Sent Max)	1.00
Verbal adjective count (Sent Min)	0.00
Past tense count (Doc)	68.00
Past tense count (Sent Avg)	1.84
Past tense count (Sent SD)	1.07
Past tense count (Sent Max)	4.00
Past tense count (Sent Min)	0.00
Present tense count (Doc)	7.00
Present tense count (Sent Avg)	0.19
Present tense count (Sent SD)	0.62
Present tense count (Sent Max)	3.00
Present tense count (Sent Min)	0.00
Passive voice count (Doc)	1.00
Passive voice count (Sent Avg)	0.027
Passive voice count (Sent SD)	0.16
Passive voice count (Sent Max)	1.00
Passive voice count (Sent Min)	0.00
Adjective incidence (Doc)	89.42
Adjective incidence (Sent Avg)	89.27
Adjective incidence (Sent SD)	61.60
Adjective incidence (Sent Max)	250.00
Adjective incidence (Sent Min)	0.00
Adverb incidence (Doc)	41.97
Adverb incidence (Sent Avg)	41.75
Adverb incidence (Sent SD)	57.58
Adverb incidence (Sent Max)	200.00
Adverb incidence (Sent Min)	0.00
Interjection incidence (Doc)	0.00
Interjection incidence (Sent Avg)	0.0
Interjection incidence (Sent SD)	0.0
Interjection incidence (Sent Max)	0.00
Interjection incidence (Sent Min)	0.00
Lexical verb incidence (Doc)	162.41
Lexical verb incidence (Sent Avg)	159.19
Lexical verb incidence (Sent SD)	83.30
Lexical verb incidence (Sent Max)	333.33
Lexical verb incidence (Sent Min)	0.00
Noun incidence (Doc)	208.03
Noun incidence (Sent Avg)	201.98
Noun incidence (Sent SD)	96.73
Noun incidence (Sent Max)	421.05
Noun incidence (Sent Min)	0.00
Proper noun incidence (Doc)	36.50
Proper noun incidence (Sent Avg)	45.55
Proper noun incidence (Sent SD)	73.02
Proper noun incidence (Sent Max)	333.33
Proper noun incidence (Sent Min)	0.00
Lexical item incidence (Doc)	538.32
Lexical item incidence (Sent Avg)	537.75
Lexical item incidence (Sent SD)	86.06
Lexical item incidence (Sent Max)	800.00
Lexical item incidence (Sent Min)	384.62
Adposition incidence (Doc)	111.31
Adposition incidence (Sent Avg)	99.13
Adposition incidence (Sent SD)	74.90
Adposition incidence (Sent Max)	263.16
Adposition incidence (Sent Min)	0.00
Auxiliary incidence (Doc)	38.32
Auxiliary incidence (Sent Avg)	49.50
Auxiliary incidence (Sent SD)	65.61
Auxiliary incidence (Sent Max)	200.00
Auxiliary incidence (Sent Min)	0.00
Conjunction incidence (Doc)	52.92
Conjunction incidence (Sent Avg)	47.51
Conjunction incidence (Sent SD)	61.63
Conjunction incidence (Sent Max)	250.00
Conjunction incidence (Sent Min)	0.00
Determiner incidence (Doc)	133.21
Determiner incidence (Sent Avg)	130.59
Determiner incidence (Sent SD)	78.27
Determiner incidence (Sent Max)	333.33
Determiner incidence (Sent Min)	0.00
Numeral incidence (Doc)	3.65
Numeral incidence (Sent Avg)	2.65
Numeral incidence (Sent SD)	11.27
Numeral incidence (Sent Max)	52.63
Numeral incidence (Sent Min)	0.00
Particle incidence (Doc)	29.20
Particle incidence (Sent Avg)	34.92
Particle incidence (Sent SD)	61.40
Particle incidence (Sent Max)	200.00
Particle incidence (Sent Min)	0.00
Pronoun incidence (Doc)	93.07
Pronoun incidence (Sent Avg)	97.95
Pronoun incidence (Sent SD)	77.15
Pronoun incidence (Sent Max)	250.00
Pronoun incidence (Sent Min)	0.00
Grammatical item incidence (Doc)	461.68
Grammatical item incidence (Sent Avg)	462.25
Grammatical item incidence (Sent SD)	86.06
Grammatical item incidence (Sent Max)	615.38
Grammatical item incidence (Sent Min)	200.00
Verb incidence (Doc)	200.73
Verb incidence (Sent Avg)	208.69
Verb incidence (Sent SD)	95.20
Verb incidence (Sent Max)	428.57
Verb incidence (Sent Min)	0.00
Punctuation incidence (Doc)	146.42
Punctuation incidence (Sent Avg)	155.85
Punctuation incidence (Sent SD)	86.77
Punctuation incidence (Sent Max)	444.44
Punctuation incidence (Sent Min)	0.0
Personal pronoun incidence (Doc)	83.94
Personal pronoun incidence (Sent Avg)	86.24
Personal pronoun incidence (Sent SD)	77.97
Personal pronoun incidence (Sent Max)	250.00
Personal pronoun incidence (Sent Min)	0.00
First person pronoun incidence (Doc)	7.30
First person pronoun incidence (Sent Avg)	11.64
First person pronoun incidence (Sent SD)	49.51
First person pronoun incidence (Sent Max)	230.77
First person pronoun incidence (Sent Min)	0.00
Second person pronoun incidence (Doc)	1.82
Second person pronoun incidence (Sent Avg)	1.93
Second person pronoun incidence (Sent SD)	11.74
Second person pronoun incidence (Sent Max)	71.43
Second person pronoun incidence (Sent Min)	0.00
Third person pronoun incidence (Doc)	74.82
Third person pronoun incidence (Sent Avg)	72.67
Third person pronoun incidence (Sent SD)	72.67
Third person pronoun incidence (Sent Max)	250.00
Third person pronoun incidence (Sent Min)	0.00
Interrogative incidence (Doc)	3.65
Interrogative incidence (Sent Avg)	5.79
Interrogative incidence (Sent SD)	25.96
Interrogative incidence (Sent Max)	142.86
Interrogative incidence (Sent Min)	0.00
Demonstrative incidence (Doc)	9.12
Demonstrative incidence (Sent Avg)	7.51
Demonstrative incidence (Sent SD)	19.76
Demonstrative incidence (Sent Max)	71.43
Demonstrative incidence (Sent Min)	0.00
Singular word incidence (Doc)	377.74
Singular word incidence (Sent Avg)	390.86
Singular word incidence (Sent SD)	152.92
Singular word incidence (Sent Max)	625.00
Singular word incidence (Sent Min)	0.00
Plural word incidence (Doc)	71.17
Plural word incidence (Sent Avg)	76.01
Plural word incidence (Sent SD)	157.07
Plural word incidence (Sent Max)	800.00
