Measures,Text 1
Language,en
Letter count (Doc),1855.00
Letter count (Sent Avg),43.14
Letter count (Sent SD),19.08
Letter count (Sent Max),90.00
Letter count (Sent Min),12.00
Word count (Doc),496.00
Word count (Sent Avg),11.53
Word count (Sent SD),5.31
Word count (Sent Max),24.00
Word count (Sent Min),3.00
Type count (Doc),192.00
Type count (Sent Avg),10.70
Type count (Sent SD),4.73
Type count (Sent Max),21.00
Type count (Sent Min),3.00
Sentence count (Doc),43.00
Paragraph count (Doc),5.00
Hapax legomena count (Doc),108.00
Hapax legomena count (Sent Avg),9.93
Hapax legomena count (Sent SD),4.34
Hapax legomena count (Sent Max),19.00
Hapax legomena count (Sent Min),3.00
Hapax legomena incidence (Doc),217.74
Hapax legomena incidence (Sent Avg),882.34
Hapax legomena incidence (Sent SD),139.74
Hapax legomena incidence (Sent Max),1000.00
Hapax legomena incidence (Sent Min),400.00
Adjective count (Doc),25.00
Adjective count (Sent Avg),0.58
Adjective count (Sent SD),0.88
Adjective count (Sent Max),3.00
Adjective count (Sent Min),0.00
Adverb count (Doc),25.00
Adverb count (Sent Avg),0.58
Adverb count (Sent SD),0.79
Adverb count (Sent Max),3.00
Adverb count (Sent Min),0.00
Interjection count (Doc),2.00
Interjection count (Sent Avg),0.047
Interjection count (Sent SD),0.21
Interjection count (Sent Max),1.00
Interjection count (Sent Min),0.00
Lexical verb count (Doc),85.00
Lexical verb count (Sent Avg),1.98
Lexical verb count (Sent SD),1.10
Lexical verb count (Sent Max),4.00
Lexical verb count (Sent Min),0.00
Noun count (Doc),81.00
Noun count (Sent Avg),1.88
Noun count (Sent SD),1.37
Noun count (Sent Max),5.00
Noun count (Sent Min),0.00
Proper noun count (Doc),7.00
Proper noun count (Sent Avg),0.16
Proper noun count (Sent SD),0.48
Proper noun count (Sent Max),2.00
Proper noun count (Sent Min),0.00
Lexical item count (Doc),225.00
Lexical item count (Sent Avg),5.23
Lexical item count (Sent SD),2.56
Lexical item count (Sent Max),12.00
Lexical item count (Sent Min),1.00
Adposition count (Doc),52.00
Adposition count (Sent Avg),1.21
Adposition count (Sent SD),1.08
Adposition count (Sent Max),4.00
Adposition count (Sent Min),0.00
Auxiliary count (Doc),28.00
Auxiliary count (Sent Avg),0.65
Auxiliary count (Sent SD),0.65
Auxiliary count (Sent Max),2.00
Auxiliary count (Sent Min),0.00
Conjunction count (Doc),37.00
